Title,Check & Update,Does Order Exist?,Does Shipping Record Exist?,Does Invoice Record Exist?,invoice sent to buyer?,Purchase Order num.,Line,Shipment Number (Buyer Ref.),Delivery Value,Currency,Arrival Date at Port,Incoterms,Item Description,Container Number,Bill of Lading (TrackingID),Container Type,Unit's code (Buyers Ref.),Quantity in Container (Cartons),Quantity in Container (Units / 🚢),Supplier's number,Country of supplier,Warehouse of destination,Food's Broker number,Port of Origin,Food's Broker fee per line,Custom/ Taarif's code,Shipping Company,Food's Broker name,Supplier's name,Forwarder's name,Forwarder's Case Number/ ID,Units per Carton,SeaPort of destination,Unit's weight (Gross),Net order value,Buyer's name (Contact),Buyer's name (Category manager)
"115239, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115239,20,29152,,EUR,6/11/2024,FOB,PRESERVED LEMON JUICE 500 ML.,MCLU5089395,BORUWRA953GEHF05,Y40H,7296073132400,"2,400.000",14400,110157,IT,6030,204776,GENOA,,2009311000,LUCY BORCHARD,"פודז .אקס בע""מ",POLENGHI LAS SRL,,,6,,0.5,,,
"115239, 40",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115239,40,29152,,EUR,6/11/2024,FOB,Natural Lemon Juice 250ml.,MCLU5089395,BORUWRA953GEHF05,Y40H,7296073404903,"1,025.000",12300,110157,IT,6030,204776,GENOA,,2009311000,LUCY BORCHARD,"פודז .אקס בע""מ",POLENGHI LAS SRL,,,12,,0.25,,,
"115247, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115247,10,29153,,EUR,6/7/2024,EXW,tomatoes gnocchi 500gr,ZIMU3004816,ZIMUN-AP110818,Y020,7296073291930,140.000,1680,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,,,12,,0.5,,,
"115247, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115247,10,29153,,EUR,6/7/2024,EXW,tomatoes gnocchi 500gr,ZIMU3183990,ZIMUN-AP110818,Y020,7296073291930,170.000,2040,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,,,12,,0.5,,,
"115247, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115247,20,29153,,EUR,6/7/2024,EXW,spinach gnocchi 500gr,ZIMU3004816,ZIMUN-AP110818,Y020,7296073291947,409.000,4908,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,,,12,,0.5,,,
"115247, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115247,30,29153,,EUR,6/7/2024,EXW,potato gnocchi 500gr,ZIMU3004816,ZIMUN-AP110818,Y020,7296073291916,"1,717.000",20604,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,,,12,,0.5,,,
"115247, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115247,30,29153,,EUR,6/7/2024,EXW,potato gnocchi 500gr,ZIMU3183990,ZIMUN-AP110818,Y020,7296073291916,"1,635.000",19620,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,,,12,,0.5,,,
"115247, 40",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115247,40,29153,,EUR,6/7/2024,EXW,mini potato gnocchi 500gr,ZIMU3004816,ZIMUN-AP110818,Y020,7296073291923,280.000,3360,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,,,12,,0.5,,,
"115247, 40",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115247,40,29153,,EUR,6/7/2024,EXW,mini potato gnocchi 500gr,ZIMU3183990,ZIMUN-AP110818,Y020,7296073291923,752.000,9024,110976,IT,6030,204776,NAPLES,,190230003,ZIM,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,,,12,,0.5,,,
"115233, 60",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115233,60,29223,,EUR,17/6/2024,FOB,"Ladyfingers ""Shufersal"" 200g",MCLU5091160,BORUWLB189VNHF02,Y40H,7296073218807,"3,005.000",36060,110466,IT,6030,204776,VENICE,,190531004,LUCY BORCHARD,"פודז .אקס בע""מ",VICENZI BISCOTTI S.P.A,,,12,,0.2,,,
"115173, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115173,10,29240,,EUR,27/6/2024,EXW,parsnip sweet potato&beetroot chips 85gr,ZCSU7066118,ME-24068711,Y40H,7296073406617,420.000,5040,112147,ES,6030,204776,TARRAGONA,,2005999000,ZIM,"פודז .אקס בע""מ",Viube foods,,,12,,0.085,,,
"115173, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,115173,20,29240,,EUR,27/6/2024,EXW,orange sweet potato&purple sweet chips85,ZCSU7066118,ME-24068711,Y40H,7296073406600,700.000,8400,112147,ES,6030,204776,TARRAGONA,,2008999000,ZIM,"פודז .אקס בע""מ",Viube foods,,,12,,0.085,,,
